,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,canico,32.6333,-16.85,72.23,43,20,16.11,1650148882,PT
1,barrow,71.2906,-156.7887,6.82,72,0,21.85,1650148686,US
2,rikitea,-23.1203,-134.9692,78.49,70,7,13.67,1650148883,PF
3,taltal,-25.4,-70.4833,62.49,77,22,5.86,1650148883,CL
4,cape town,-33.9258,18.4232,59.92,70,0,15.01,1650148715,ZA
5,bethel,41.3712,-73.414,59.49,83,100,13.8,1650148884,US
6,nantucket,41.2835,-70.0995,57.25,80,0,18.41,1650148885,US
7,haines junction,60.7522,-137.5108,39.15,38,100,4.61,1650148885,CA
8,punta arenas,-53.15,-70.9167,44.71,81,40,6.91,1650148771,CL
9,coquimbo,-29.9533,-71.3436,58.73,82,75,12.66,1650148707,CL
10,ola,59.5833,151.2833,23.14,67,9,6.11,1650148886,RU
11,mar del plata,-38.0023,-57.5575,65.08,89,0,3.0,1650148597,AR
12,klaksvik,62.2266,-6.589,47.32,95,100,21.34,1650148886,FO
13,hermanus,-34.4187,19.2345,57.79,78,2,16.78,1650148883,ZA
14,guerrero negro,27.9769,-114.0611,66.13,66,93,22.46,1650148679,MX
15,arraial do cabo,-22.9661,-42.0278,73.26,73,0,11.5,1650148887,BR
16,ponta do sol,32.6667,-17.1,72.23,38,100,7.0,1650148888,PT
17,port alfred,-33.5906,26.891,61.18,88,100,10.74,1650148888,ZA
18,ust-tsilma,65.441,52.1498,25.47,96,96,5.79,1650148888,RU
19,vigrestad,58.5667,5.7,41.95,84,83,7.74,1650148889,NO
20,butaritari,3.0707,172.7902,81.59,77,26,13.15,1650148862,KI
21,ilulissat,69.2167,-51.1,15.82,67,75,9.22,1650148890,GL
22,cherskiy,68.75,161.3,19.92,91,100,10.13,1650148890,RU
23,katherine,-14.4667,132.2667,71.92,83,78,2.3,1650148891,AU
24,yellowknife,62.456,-114.3525,14.56,48,20,9.22,1650148891,CA
25,castro,-24.7911,-50.0119,53.4,87,0,3.13,1650148723,BR
26,oussouye,12.485,-16.5469,71.78,70,17,12.66,1650148892,SN
27,shimoda,34.6667,138.95,49.1,76,100,10.92,1650148892,JP
28,sao filipe,14.8961,-24.4956,70.56,80,36,9.95,1650148893,CV
29,port hedland,-20.3167,118.5667,75.25,60,12,4.61,1650148818,AU
30,wyndham,37.6985,-77.6125,78.6,43,0,13.8,1650148891,US
31,san quintin,30.4833,-115.95,65.08,65,0,21.14,1650148599,MX
32,port hardy,50.6996,-127.4199,50.18,57,20,13.8,1650148715,CA
33,bredasdorp,-34.5322,20.0403,57.07,79,0,8.3,1650148894,ZA
34,luderitz,-26.6481,15.1594,62.67,61,0,12.28,1650148895,NA
35,hilo,19.7297,-155.09,75.27,94,100,4.61,1650148803,US
36,georgetown,5.4112,100.3354,78.75,94,20,2.3,1650148776,MY
37,samut prakan,13.5,100.45,89.06,74,33,12.44,1650148896,TH
38,torbay,47.6666,-52.7314,50.77,47,40,28.77,1650148715,CA
39,tura,25.5198,90.2201,69.66,90,41,6.78,1650148896,IN
40,aklavik,68.2191,-135.0107,17.6,45,0,9.22,1650148897,CA
41,tasiilaq,65.6145,-37.6368,35.76,97,100,12.5,1650148897,GL
42,hamilton,39.1834,-84.5333,62.04,39,40,13.8,1650148715,US
43,russell,32.3502,-85.1999,73.0,81,20,5.75,1650148898,US
44,beira,-19.8436,34.8389,80.69,83,40,11.5,1650148898,MZ
45,pevek,69.7008,170.3133,7.5,91,100,6.22,1650148863,RU
46,atuona,-9.8,-139.0333,79.41,79,18,15.79,1650148899,PF
47,ushuaia,-54.8,-68.3,40.66,52,0,5.75,1650148877,AR
48,avarua,-21.2078,-159.775,78.85,83,75,11.5,1650148896,CK
49,yeppoon,-23.1333,150.7333,71.38,68,6,12.48,1650148900,AU
50,aripuana,-9.1667,-60.6333,74.7,98,95,1.21,1650148678,BR
51,buraydah,26.326,43.975,75.65,19,0,9.33,1650148901,SA
52,waipawa,-41.4122,175.5153,55.96,60,67,7.65,1650148901,NZ
